sessionId	userId	items
267	220	187,187,328,180,28,153,154,107,114,133,82,327,28,180,328
268	221	203,203
269	222	20,25
270	223	265,187
271	224	235,234,235,235,235,235,235,235,235,235,80,235,234,235
272	225	42,329,42,95,330,95
273	226	187,331,331,332
274	227	153,154,128,4,129,225,200,333,4,153
275	228	334,334
276	229	161,298
277	47	274,13,28,85,36,326
278	230	187,328
279	231	335,143
280	232	99,262,100,263,286,336
281	233	203,203,72,148,143,203
282	234	203,142
283	235	93,337
284	236	141,141
285	237	170,170,338
286	238	32,44
287	239	339,73,152,102,72,178,320,101,177,340
288	240	309,144,309
289	241	68,69
290	242	341,201,201,342,341
291	243	343,344
292	244	345,144,332
293	45	84,84
294	71	196,158,123,142,44,32,47
295	245	148,345,148
296	48	38,181
297	246	48,49,346
298	247	347,348,349,15,350,18,26,351,25,279,329,137
299	248	20,7,7,6,6,7,6,104
300	249	286,100,262,263
301	250	349,7,289,332,289,321,289
302	25	38,237,38,39,68,346,69,69
303	251	279,253,279
304	252	95,60,59,80,58,143,95
305	253	352,26,25
306	69	162,11,25,139,141,274,11,141,71,23,141
307	254	160,163,160,163,170,164
308	255	314,84
309	256	353,352,20
310	257	158,93
311	18	144,315,96,95,89,221
312	258	354,180,346,68,355,95,144,354
313	259	179,102,102,152
314	102	196,196,342,356
315	260	67,166
316	261	158,78,143,28,357,358,359,28
317	262	70,71,306,28
318	263	360,361
319	264	148,158,362,158,143,234
320	265	78,78
321	266	215,214,165,215,215,215
322	267	157,235,77,157,235,235
323	268	234,143,205
324	269	171,172
325	270	183,183
326	271	122,122
327	272	164,363,164
328	273	163,170,164,163
329	274	364,243,364
330	275	208,184,239,68,346,106,27,245,365
331	276	203,203,143,158
332	277	366,187,283,367
333	278	368,65
334	279	222,240,144,222,222,310,310,310,222,169
335	280	203,203
336	281	157,45,157,45,157,45
337	92	267,119,268,117
338	282	170,163,163,163,163,297,163,163,163,163
339	283	71,256,71,369,20,3,71,256,256,71,370,269,71
340	118	139,371
341	284	28,133,372,365,269,68,175,373,373,28,84
342	285	180,354,180,354
343	286	143,314
344	287	143,143
345	288	364,144,144
346	289	374,294,375
347	290	8,14,376,17,139,156,257,153,139,98
348	291	327,327,30,327,28,377,28,327,327,327,327,327,327,378,327
349	292	379,379
350	293	380,11,381,361
351	51	103,103
352	294	203,203,203
353	295	231,164,163
354	296	52,52
355	297	366,103
356	298	298,52,163
357	299	123,123
358	300	143,148
359	301	231,103
360	79	37,80,234
361	302	317,382
362	303	356,342
363	304	158,222,222
364	305	91,376,372,383
365	306	384,218
366	147	145,261,143,261
367	307	363,232
368	48	38,181,42
369	308	149,235,235
370	309	363,164,171
371	310	76,80,76,205,80,76,205,76,76,78,80,76,123,80,205,307,124,76,205,385,76,76,205,80,205,76,205,80,205
372	151	181,106,386
373	311	149,147,143,143,79,147
374	312	157,387
375	313	388,84
376	314	345,158,188,188
377	112	90,31
378	315	332,187,66,368,368,187
379	176	179,177,267,119
380	316	170,389
381	317	390,143
382	318	234,103,283,367,283,234,78,120,147
383	319	246,270,270,246
384	320	366,187,283,367,283,240
385	321	187,86,187,391,144,144,144
386	322	261,261
387	323	196,227,277,360,273,28,112,196
388	324	240,240
389	325	392,393
390	326	170,231,244
391	327	144,87,36
392	328	313,206,313
393	329	38,253
394	330	394,28,144
395	331	170,231,170,395
396	332	383,16
397	333	396,396
398	334	397,397,397,397
399	335	158,187,187,143,148
400	336	4,3
401	337	158,342,356
402	338	398,398
403	339	235,235
404	340	399,4
405	341	378,371,327,327,386,400,327,8,327,139,17,3,327,400,327,400,82,371,327,269,327,133,327,371,28,72,177,244,28,327,386,378,371,133,327,400,378
406	342	203,203
407	198	145,185
408	130	39,39,42
409	343	401,402
410	344	168,168
411	345	158,293,187
412	346	143,158,28,15,28
413	347	198,104,81,20,403,386,114,404,154,153,129
414	348	327,107,114,133,327,82,327,133,28,405,212,406,61,28,254,133
415	245	185,144
416	349	143,158,28,115,15,28,158,143
417	350	182,288
418	351	158,217
419	352	407,290
420	353	183,408,183
421	2	181,38,278,38,181,38,283
422	354	176,170
423	355	330,409,330
424	356	49,329,52,329,52
425	357	144,313,313
426	358	11,28,17,18,4,20,11,140,15,410,15,4,361,4,15,11,4,17,4,11,4,411,4
427	359	412,413
428	360	229,229
429	361	414,415
430	237	164,170
431	152	89,157
432	362	49,38
433	363	356,144
434	14	95,49
435	364	364,209,145,189,416,145,185,177,179,292,102,187
436	365	417,417,418,419,420
437	366	146,416,416
438	367	0,0
439	368	92,256,378,82,256,421,256,256,92,256,353,255,256,71,256,422,353,4,256,256,139,421,15,92,256,71,370,423,92,256,255,256,256,422,8
440	369	300,106,227,28,424,289,28,300,27,11
441	370	176,171
442	371	241,134,10,423
443	372	171,232
444	373	289,330,330,289
445	374	425,426
446	375	349,190,427
447	376	428,429,428,430,428,428
448	377	203,143
449	378	49,52
450	379	196,371
451	380	431,392,432,393,433,434
452	381	158,143,84,84,143,288,143
453	382	158,28,20,403,28,158
454	383	289,318
455	384	338,163,170,55
456	190	42,49,48,49
457	7	435,435,120,143,148,307
458	385	265,148
459	386	147,307,307,147
460	387	224,222,143
461	388	158,148
462	131	354,93,396,436,93,354,240
463	389	332,187,187,332
464	390	166,437,438
465	391	311,311
466	392	28,256
467	393	331,196,240,337,331
468	248	439,7,6
469	394	382,382
470	395	296,339,101,102,117,118,119,323,266,135,72
471	396	180,49,48,372
472	397	40,440
473	398	318,217,28,139,421,257,350,125,28,217
474	399	427,422
475	400	203,149
476	401	143,143,143,97,169
477	402	316,317
478	403	441,442,431,443,432,444,393,431,433,445,442,446,447,448,449,450,448,451,451,448,450,449,448
479	404	452,453
480	405	398,454,325
481	406	455,374
482	37	340,101,340
483	206	143,143
484	407	456,456,456,456,456,415
485	408	4,4,184,241,4,28
486	409	419,414,417
487	410	454,325,325,454
488	411	103,188,103,222
489	122	286,100,263,99
490	412	275,74
491	413	389,232,232,171
492	414	457,95
493	155	139,272
494	415	68,69,458,349,184,184,349
495	125	37,459
496	416	460,431,431,461,450,462,463,461,464,465,466,392,431,392,467
497	72	147,234,143,166
498	417	290,158
499	418	468,469,288,387,78,45,288,387
500	419	120,144,78,148
501	420	143,145,470,416,145,314,143,145
502	421	76,177,76
503	422	170,231,158,158,103,231,363,389,170,170,363,170
504	304	158,222,222
505	423	315,251
506	424	387,387,143
507	425	318,203,318
508	426	466,466,462,471,471,463,472
509	427	309,218,143,473,74,123,473,473,76,473,473,145
510	112	31,90
511	428	235,435,435,77,342
512	429	474,474
513	430	356,293,293,342
514	123	187,231,231,213
515	431	473,473
516	432	144,144
517	433	93,158,342,356,158,217,436,143,74,88
518	202	103,342,103,313
519	434	15,126,186,70
520	435	12,208,301
521	119	158,158
522	436	204,203
523	437	143,318,318
524	438	84,185,84,231
525	439	332,345
526	9	103,188,188,475,475,364
527	440	476,432,477
528	441	462,478
529	191	158,307
530	442	456,414,479
531	443	395,395,395,170,170,395,164
532	254	163,164
533	179	176,172
534	444	180,213,218,480,180,289,289,95,95,187,86,95,19,355,144,103
535	445	125,273,20
536	67	103,290,103,328,328,103
537	236	28,148,148,481,352,125
538	446	405,220
539	447	93,482,289,93,0,436
540	448	276,483,403,4,306
541	449	203,203,203,142,203,484,234,469,485,203,80,203,484,84,35
542	450	448,486
543	451	256,190
544	452	487,488,489,490,491,492,150
545	453	222,222,103,103,16,301,303,28,328,95,96,103,103,222,223,222,103,103,222,223
546	454	250,493,334
547	455	163,170,163,163,163,163,395,163,163,163,163,170,163,163,163
548	456	99,494,264,100,152,135
549	457	103,103
550	458	313,313,313
551	459	234,275,234,149,143,250,166,495,166
552	460	171,232,40
553	461	496,496,279,95,475
554	462	164,170
555	463	197,106,245,2,127,272
556	464	446,442,497
557	465	498,499,498
558	466	417,500,414
559	305	501,82,376,349,4
560	467	51,39
561	118	139,421,273,19,501,502,198,139
562	468	84,330
563	469	471,444,503
564	470	187,185,185,187,504,185
565	471	67,94,308
566	472	187,66
567	473	95,505,506
568	474	49,440,405,405,321,405,405,95
569	475	504,187
570	190	364,243
571	476	144,144,187,66
572	477	4,113,4,4
573	478	356,210,61,36,148,314,196,185
574	10	199,126,98,282
575	51	363,176
576	256	399,507,422,109
577	479	28,180
578	129	332,187,332
579	480	265,337,364
580	481	314,342
581	482	84,143,508,509,509,509,509
582	483	151,510
583	75	150,433,511,150
584	484	441,512,513,514,491,513,515,492,442,471,432,514,513,432,516,462,150,514,471,462,517,518,461,460
585	485	519,519,519,519
586	486	414,456
587	487	392,431,392,520,520
588	488	311,312,311
589	489	256,241,71,256,71,256,256,372,256
590	490	417,415,417,417
591	491	521,522,523
592	492	361,352,28
593	493	143,290,524,290
594	494	525,525,525,525,525,526
595	495	87,290,87
596	496	231,103,231,164,170,395,164,395
597	497	30,28,527,318,28
598	498	84,143
599	499	528,166
600	500	419,529,530
601	501	103,103
602	502	531,532
603	503	533,534,492,431,535,491,536,441
604	504	73,152
605	296	52,52
606	505	149,78,537,80,234,485,80,147,80,80,80
607	506	254,538
608	507	120,275
609	508	475,217
610	509	451,461,530
611	510	539,418,539,472,472,472,445,540,539,539,539
612	511	467,462,541
613	512	467,467,445,467,467,467,467
614	244	330,331,345,345
615	513	379,247,379,495,542,437,543
616	213	325,324
617	514	544,545,545
618	515	38,278
619	516	494,263,99
620	517	103,185,340,103,222,222,103,103
621	518	302,302,302,302,302
622	519	201,201,201
623	520	311,315,311,315,311
624	521	362,286,546,263,362
625	522	144,97,143
626	523	205,307,149,149,124,80,205,149,205,77,122,149
627	524	521,547,513,517,464,461,491,464,518,517,462,471
628	525	451,448,450,449,443,448,548
629	526	549,448,521,393,443,477
630	527	95,505,298
631	528	316,317
632	529	441,550,551,552,553,541,541,541,554
633	530	431,555,432,487,521,446,442,555,431,431,520,450,556,533
634	531	159,395,395
635	532	102,177,320,101
636	533	557,558
637	534	540,526,540
638	535	334,437
639	536	541,554
640	537	203,203,203,203
641	538	28,213
642	539	559,559
643	284	144,28,134
644	540	157,275,58,157,288,157,387
645	541	560,560,560,560,560,560,150,151,151,150,471,462,560,513,560,560,560
646	542	438,438,438,438,438,438,438,438,438,438
647	543	548,445
648	544	77,122,89,250
649	545	514,489,561
650	224	235,76,235
651	546	514,562,431,544
652	547	438,438,438,438,121,438,438,438,438,438,438,379
653	548	102,185
654	549	435,149,205,205,78,205,205
655	550	563,458,349,353,349
656	551	564,565,566
657	552	40,95,87,95,49,64
658	553	438,379,438,438,438,379,543,438,379,438,379,438,379,438,379,438,379
659	554	567,471
660	555	487,568
661	556	487,568
662	557	356,123
663	558	212,569,217,310
664	559	212,211,405,480
665	560	95,28,342
666	561	38,181,38,38,38,38,38,38
667	22	32,41,222,143,41,270,144,143,41,32
668	562	403,570,403
669	563	78,77,45,138
670	564	269,372,361,372
671	565	375,294
672	566	364,45
673	567	571,572,414,571,571,572,571,572,571,571,571,571,572
674	568	213,330,573
675	569	237,238
676	570	499,498,574,574
677	18	331,146,416,416,146
678	571	425,573
679	572	161,39
680	573	222,222
681	34	137,38,346,69,38,69,38,38,237,137,38,38,38,38
682	574	252,67
683	575	298,175,64
684	576	95,440,298
685	99	222,43
686	379	158,6
687	577	319,237
688	578	235,188,222,169
689	579	203,484,78
690	580	170,40,137
691	581	11,9,2,225,128,98,115,198
692	582	381,575
693	583	93,244
694	584	47,202
695	585	72,135,179,135,152,296
696	586	338,164,170
697	587	147,75,79
698	153	134,241
699	588	264,546,546
700	589	546,546,100,99
701	590	576,577,576
702	591	438,543,438,438,438,543,438,438,543
703	592	578,579
704	593	566,580,442,518,555,581,582,583,471,445,518,471
705	594	557,548
706	595	489,584,541,562,566,441,450
707	596	585,542,585
708	597	28,436
709	183	235,234
710	598	437,379,438,438,438,166,586,177,267
711	599	143,177,194
712	373	427,505,330,330,330
713	600	587,588,588,587
714	601	102,118,177,101,185,144
715	471	94,311
716	602	325,525
717	603	237,137
718	604	161,52
719	605	230,75
720	606	172,338,171,176
721	607	284,285,284,284,284,285,285
722	608	143,589,143,158
723	609	379,379,379,379,379,121
724	610	479,437
725	611	539,532,539
726	612	215,216,334,216,167,216,334,216
727	613	364,101,320,118,177,267,102,87
728	614	576,445,576,576
729	615	491,547,491,445
730	137	309,332
731	616	489,488,550,576,491,489
732	617	498,532,433,442,545,532
733	618	231,93,196,436,55
734	495	152,152
735	619	122,205,143,291
736	620	171,172
737	621	170,163
738	70	11,141,71,139,12,23,141,13,12,139,129,113,13,139,71,126,139,139,141,590,13
739	622	143,102
740	623	203,143,158,143,158
741	624	151,151
742	625	591,592
743	626	534,491,491,534,471,491,491,491,491,491,518,443,503,518,448,471,448,448,491
744	627	593,585,284,284,594,595,596
745	628	334,167
746	629	505,293,597,356
747	630	598,598
748	631	451,471,431
749	632	599,599
750	633	165,250,250
751	634	448,448
752	635	37,201
753	636	102,101,73,194,178,179,136,135
754	637	552,462,541
755	638	442,448,417,599,417,448,417
756	639	103,143,89,206,206,103
757	640	471,462,517,461,464,535
758	641	479,540
759	642	232,232,363
760	643	180,600,330,28,180
761	147	261,261,261,103,103,261,84,185,185
762	644	179,179,179
763	645	73,152
764	646	592,434,448,601,601,517,451,601,535,602,601
765	647	603,557,604,448,511,448,511
766	648	446,431,576,605,601
767	649	606,451,606,606,462,548
768	650	465,441,465
769	651	434,599,434,607,434,607,591,434
770	652	453,608
771	653	609,609,609
772	654	610,610
773	655	611,499,540
774	656	148,72
775	657	612,541,602
776	658	461,514,445,461,461,461,451,461,461,578,461,461,461,464
777	659	613,247
778	660	564,441
779	661	217,28,14,15,14,217,97,143
780	662	97,341
781	663	18,98
782	664	213,483,483,64,213
783	665	163,163
784	666	338,171,163,163,338,231,614,143
785	667	615,615
786	668	448,489
787	669	412,412,413,412,413,616,616,525,413,413,413,412,413,412,412,412,413,413,413
788	670	512,617,434,434
789	671	548,548,618
790	672	619,619,619,594
791	673	438,438,438,438,121,121,438,438,438,438,121,250,438
792	674	448,541,541,554,564,620,471,517,448,592
793	675	112,112
794	676	434,599,617,621,622,623
795	677	417,420
796	678	485,143
797	679	602,557,557
798	680	585,624
799	681	540,497,540,585,499,583,625,626,627,628,497,499,499
800	682	11,246,629
801	683	517,520
802	684	330,187
803	685	616,616,616,616,616
804	449	80,342
805	686	103,143
806	126	237,330
807	687	187,240,270
808	688	417,479,453,143,77,77,78,608,479
809	689	74,384
810	690	485,288,275,77
811	691	28,274,352,361,352,630,361,162,630,314,289,283,631
812	692	632,633,634,443,635,462,517,516
813	693	599,599
814	694	543,379,543,379,543,543,543,543,543,543,379
815	695	294,324
816	696	516,518,636,636,636,557,608,557,503,636,637,503,636,636,374
817	697	314,218,212,569,210,638,218,314
818	698	544,462,639,628,448
819	699	417,571,532,392,532,530,417,571,417
820	700	492,640,491,492,492
821	701	628,433,641,625,628
822	702	488,642,639,503,491,477,642,562,643
823	703	599,434,592,434
824	704	533,442,514,477,536,448,503,560,491,477,477,644,477
825	705	627,392
826	706	582,645,529,392
827	168	646,285,284,284,284,285
828	707	216,215,216
829	708	647,532
830	709	266,185
831	710	314,222,43
832	711	79,79
833	712	407,44
834	713	143,613,250,250,250,143
835	714	506,187,332,213
836	715	137,278
837	716	211,61,210,63,61
838	717	144,143,74,84
839	718	330,309,87,103
840	719	288,275,59
841	720	329,329,648
842	79	80,76,469
843	721	448,582,626
844	722	431,579,649,431,555,462,471,536,640,535
845	723	601,464,532,417,650,433,392,462,601,601,601,450,601,462,601,461,601,601,601,460
846	724	628,553,628,562,634,431,628,533
847	725	500,651,571,448
848	726	431,462,652,431
849	727	442,477,579,150,514,639,514,653,499,523,653
850	728	489,654,489,654
851	729	44,41,143,120,41,41,44,44,41,41,44,143,482,86
852	730	637,558,533
853	731	158,318
854	348	269,327,133,327,269,655,133,254,327,371,383,371,378
855	732	621,656,512,512,434,592
856	733	297,297,163
857	734	63,62,219,218,28
858	437	143,182
859	735	657,454
860	736	143,307,182,307
861	737	99,262
862	738	46,335
863	739	196,112,14
864	740	95,143
865	140	30,421,254,371,15,327,400,399,300,400,403,404,327,371,400,327,400,655,327,133,254,400,327,400,327,400,327,30,383,82
866	741	163,389,389
867	589	158,293
868	742	477,580,447
869	80	176,159
870	743	144,330,144
871	744	658,289
872	745	659,660
873	746	28,196,661,28,349
874	747	629,187,662,663,663
875	748	28,349
876	749	76,77
877	750	340,145,287
878	751	404,304,25,269,129,91,109,20,404
879	10	27,127,199
880	752	42,51,51
881	753	349,272
882	754	79,143
883	755	120,473,473,79,143
884	756	143,482,664
885	757	447,491,515,514,477,533
886	758	646,665,646
887	759	159,232
888	760	541,666,667
889	761	448,489,448,489,489
890	762	668,158
891	763	493,121
892	764	491,471,503,448,471,547,602,450,431,669,466
893	765	314,314
894	766	670,670,670,670
895	767	561,417
896	768	94,94
897	769	177,101,73,152
898	770	436,80
899	771	222,169,224
900	772	143,505
901	421	76,76,76
902	773	275,235
903	54	264,494
904	774	137,137,181,137,181,237
905	7	307,143,148,390
906	775	144,143
907	776	671,218,212,569,210,405,321,219,62,63,212
908	583	289,93
909	777	170,163
910	778	97,283
911	338	398,398
912	491	523,521
913	779	471,451,667,649,579,513,477,515,503,448
914	780	143,148
915	781	309,218,638,143,143,196
916	782	214,214
917	783	387,157,157,157,157,157,387,157,157,387,157,335,79,157
918	784	617,434
919	785	313,103,72,185,313
920	329	38,614,293
921	365	672,673
922	786	674,195
923	787	640,462,474,474,463
924	788	143,103
925	789	28,95,505
926	790	675,148
927	791	122,122
928	792	158,676,196,330,660,660
929	793	384,664,677
930	794	44,44,44,44,44,44,44,32,44,44,377,44,44,41,44,44
931	522	148,289
932	155	590,199
933	795	440,440
934	796	103,457
935	797	223,222,330
936	798	309,240,79
937	137	332,309
938	799	332,309
939	297	318,366
940	800	678,479,433,557,417,571,678,479,479,679,680,641,641
941	801	417,681
942	802	438,438,438,438,438,438,438,438,438,438,438,438,438,438
943	803	557,540,585,284,523,682
944	804	558,637
945	805	288,77,188,188,314,112,180
946	806	683,617,683
947	807	192,399,352,386,371,162,371,380,570,403,361,403,358,272,105,360,371
948	808	461,684,685,552,686,462,582,448,686,521
949	809	103,318,103,313,103
950	271	122,205,143,148,143,122,122,122
951	810	138,138
952	811	647,647
953	464	576,491,499,535,445,541,687
954	812	688,143
955	813	188,468,475
956	814	234,123,234,123,123,84
957	815	423,378,689,28,217,98,333,128,289,187,86
958	816	266,185
959	817	387,78
960	818	245,349,52,427,690
961	819	222,93
962	212	209,364,158
963	820	123,143
964	821	159,163,170,170
965	822	320,340,691,177
966	823	342,158
967	824	646,166,84,677
968	825	264,494,546,99,262
969	826	692,434,592,621,622,693,694,621,622
970	827	448,636,636,461,636,695,636,636
971	828	448,151
972	829	434,680,641,696
973	830	414,539,539,539,539,414,539,539,539,539,539,418,539
974	831	636,636,636,464,636,477,636,636
975	832	476,467
976	833	683,621,599,445,567,566,567,446,686,692,683,609,623
977	834	143,332
978	835	254,4,349,7
979	836	489,488
980	837	167,214,250
981	838	697,697,698
982	376	699,413,412,699,428,430,430,413
983	839	535,612,442,445,562,541,554,462,669,606,562
984	840	700,595,700,700,700
985	841	432,451,462,701,462
986	842	31,28,403,2,400,655,20,702,358,82
987	843	250,166,687,393
988	844	681,681,681,681,681
989	845	288,288,387,234,288,234,484,288,147
990	846	448,150,491,491,536
991	847	286,99,263,235,235,80,79,234,45
992	848	120,473,143,77,275,59
993	849	39,38,39
994	35	141,538,13,141,703
995	850	473,473,473,473,473
996	210	237,253,253,253,181,505
997	851	97,188,468
998	852	144,144,505,144,144,96
999	298	39,96
1000	853	391,345
1001	485	519,519
1002	854	294,375,375,375,375,375
1003	855	450,627,450,450,448,450,446
1004	856	167,167
1005	857	536,562,489
1006	858	704,696
1007	395	177,117,72
1008	859	574,574,531
1009	328	313,313,313,313,244
1010	860	705,706,536,604,553,448
1011	628	493,167
1012	861	283,187,144,217
1013	862	530,532
1014	863	152,266
1015	864	356,480
1016	865	707,424
1017	866	615,615,615,615,615,615,615,615
1018	867	605,576
1019	868	450,639
1020	869	42,161
1021	870	582,547,431
1022	871	518,708,517,461,448,497,446,451,518,499,709
1023	872	144,144
1024	873	187,36,34,35,337,337,144
1025	874	214,215,214,215,214,214
1026	875	585,585,448
1027	876	77,60,59,234,143,187,457
1028	877	710,540,557,499,540
1029	250	103,7,6
1030	479	28,187,84,84,28
1031	878	42,42,427,427,0
1032	879	285,285
1033	880	566,545,640,535,562,488,489,442,536,640,535,462,471,503,536,640,535
1034	881	178,72,323,102,177,102,101
1035	882	59,78,275
1036	883	289,289,158,688
1037	884	482,662,213,143
1038	885	711,711,547,533,711,711,711,581
1039	886	14,13,15
1040	887	222,95,712,233,222
1041	888	95,95,97
1042	889	217,480
1043	890	82,713
1044	891	714,714,222
1045	892	448,448,715
1046	893	687,523
1047	894	521,460
1048	895	467,447
1049	896	446,392
1050	897	332,424,629,629
1051	898	2,306,4,400,134
1052	165	278,95,355
1053	899	459,37,459,37
1054	900	287,148,148
1055	901	177,340
1056	902	95,662,164,231,159,55
1057	903	9,115,4,376,115,1,655,716,9,28,219,9,717,140
1058	904	13,257
1059	905	166,718,586
1060	906	77,202,47,202
1061	97	368,66
1062	907	655,347,98,197,98
1063	908	586,166,586,718
